,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Seats,Price,Company
1709,Maruti Wagon R VXI,Hyderabad,2013,67263,Petrol,Manual,5.0,3.6,Maruti
1710,Toyota Etios G Safety,Kochi,2012,44223,Petrol,Manual,5.0,3.99,Toyota
1711,Hyundai Grand i10 Sportz,Coimbatore,2015,36840,Petrol,Manual,5.0,5.64,Hyundai
1712,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,160000,Diesel,Manual,8.0,12.0,Toyota
1713,Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,5.0,0.7,Tata
1714,BMW 3 Series 320d Sport Line,Mumbai,2015,69123,Diesel,Automatic,5.0,19.0,BMW
1715,Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2017,38000,Diesel,Automatic,7.0,30.48,Ford
1716,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,5.0,8.2,Maruti
1717,Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,1001,Diesel,Manual,5.0,7.55,Ford
1718,Chevrolet Aveo U-VA 1.2 LS,Pune,2007,59000,Petrol,Manual,5.0,0.99,Chevrolet
1719,Honda City 1.5 V AT,Delhi,2011,78256,Petrol,Automatic,5.0,4.15,Honda
1720,Nissan Sunny XL,Chennai,2016,90000,Petrol,Manual,5.0,6.2,Nissan
1721,Maruti Swift Dzire VXI,Kolkata,2016,18000,Petrol,Manual,5.0,4.4,Maruti
1722,Ford Figo Diesel Titanium,Kolkata,2012,60000,Diesel,Manual,5.0,2.1,Ford
1723,Fiat Grande Punto 1.3 Emotion (Diesel),Jaipur,2011,130000,Diesel,Manual,5.0,2.2,Fiat
1724,Hyundai Elite i20 Petrol Asta,Coimbatore,2018,32851,Petrol,Manual,5.0,8.34,Hyundai
1725,Maruti Swift Dzire VDI,Kolkata,2014,32000,Diesel,Manual,5.0,4.35,Maruti
1726,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,62700,Diesel,Manual,5.0,6.8,Ford
1727,Maruti Swift Dzire VDi,Jaipur,2010,71000,Diesel,Manual,5.0,3.3,Maruti
1728,Hyundai Grand i10 Sportz,Kochi,2016,19947,Petrol,Manual,5.0,5.04,Hyundai
1729,Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91000,Diesel,Automatic,7.0,9.2,Ford
1730,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,74000,Diesel,Manual,5.0,5.7,Volkswagen
1731,Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,55594,Diesel,Manual,7.0,8.48,Mahindra
1732,BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,4.0,48.0,BMW
1733,Renault Duster 110PS Diesel RxZ,Hyderabad,2012,110224,Diesel,Manual,5.0,6.1,Renault
1734,Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,5.0,2.75,Maruti
1735,Maruti Ertiga SHVS VDI,Pune,2017,121000,Diesel,Manual,7.0,8.0,Maruti
1736,Maruti Alto LXi BSIII,Jaipur,2010,73513,Petrol,Manual,5.0,1.85,Maruti
1737,Maruti Wagon R AMT VXI Option,Jaipur,2015,34000,Petrol,Automatic,5.0,3.85,Maruti
1738,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,7.0,4.74,Maruti
1739,Renault Duster 110PS Diesel RxL,Kochi,2013,74755,Diesel,Manual,5.0,5.63,Renault
1740,Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,25805,Petrol,Manual,5.0,2.62,Maruti
1741,Renault Duster Petrol RxL,Kochi,2015,82603,Petrol,Manual,5.0,4.9,Renault
1742,Honda Civic 2006-2010 1.8 S MT,Chennai,2006,110000,Petrol,Manual,5.0,2.65,Honda
1743,Mahindra XUV500 W8 2WD,Delhi,2012,88000,Diesel,Manual,7.0,5.99,Mahindra
1744,Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,5.0,2.4,Mahindra
1745,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,5.0,4.25,Renault
1746,Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,5.0,40.0,Porsche
1747,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,5.0,2.7,Maruti
1748,Datsun GO T Option,Hyderabad,2016,19000,Petrol,Manual,5.0,2.99,Datsun
1749,Hyundai i20 1.2 Magna,Chennai,2011,37442,Petrol,Manual,5.0,3.4,Hyundai
1750,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,5.0,30.8,BMW
1751,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,7.0,5.85,Maruti
1752,Hyundai Grand i10 Magna,Jaipur,2014,42355,Petrol,Manual,5.0,4.0,Hyundai
1753,BMW 3 Series 330i,Coimbatore,2011,75871,Petrol,Automatic,5.0,14.12,BMW
1754,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,5.0,4.55,Chevrolet
1755,Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,69000,Diesel,Automatic,5.0,38.0,Mercedes-Benz
1756,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,5.0,2.9,Maruti
1757,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Petrol,Automatic,5.0,6.0,Mercedes-Benz
1758,Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Petrol,Manual,5.0,6.95,Hyundai
1759,Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,5.0,2.75,Hyundai
1760,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,5.0,5.1,Maruti
1761,Hyundai i20 Sportz 1.2,Chennai,2017,8000,Petrol,Manual,5.0,6.75,Hyundai
1762,Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,5.0,3.69,Maruti
1763,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,5.0,5.45,Maruti
1764,Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,5.0,9.29,Honda
1765,Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,5.0,4.0,Hyundai
1766,Honda Amaze E i-Vtech,Kolkata,2013,40000,Petrol,Manual,5.0,2.9,Honda
1767,Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Petrol,Manual,5.0,5.25,Hyundai
1768,Honda City V MT,Mumbai,2014,56000,Petrol,Manual,5.0,5.75,Honda
1769,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Petrol,Manual,5.0,13.12,Hyundai
1770,Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,7.0,7.83,Mahindra
1771,Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,5.0,3.15,Maruti
1772,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,7.0,10.4,Toyota
1773,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,5.0,4.35,Maruti
1774,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,5.0,5.23,Maruti
1775,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,5.0,6.01,Hyundai
1776,Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,5.0,4.4,Honda
1777,BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,5.0,12.75,BMW
1778,Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,5.0,2.4,Ford
1779,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,5.0,5.71,Volkswagen
1780,Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,5.0,5.49,Ford
1781,Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,5.0,1.3,Honda
1782,Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,7.0,8.5,Mahindra
1783,Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,7.0,12.99,Toyota
1784,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,5.0,5.0,Hyundai
1785,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,5.0,9.0,Maruti
1786,Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,5.0,5.22,Maruti
1787,Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,5.0,3.8,Volkswagen
1788,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,5.0,7.27,Toyota
1789,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,5.0,5.1,Maruti
1790,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,5.0,29.0,Mercedes-Benz
1791,Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,5.0,2.9,Maruti
1792,Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,4.0,1.38,Tata
1793,Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,5.0,5.5,Skoda
1794,Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,5.0,7.25,Volkswagen
1795,Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,5.0,6.98,Hyundai
1796,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,5.0,5.25,Tata
1797,Hyundai EON D Lite Plus,Kolkata,2013,36000,Petrol,Manual,5.0,1.95,Hyundai
1798,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,5.0,24.5,Audi
1799,Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,2013,62162,Diesel,Manual,7.0,8.31,Toyota
1800,Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,83000,Diesel,Automatic,5.0,36.0,Mercedes-Benz
1801,Hyundai Xcent 1.1 CRDi S,Pune,2015,58000,Diesel,Manual,5.0,5.5,Hyundai
1802,Honda Accord 2.4 AT,Kochi,2011,62332,Petrol,Automatic,5.0,5.89,Honda
1803,Volkswagen Vento 1.5 TDI Highline,Kochi,2016,50867,Diesel,Manual,5.0,7.95,Volkswagen
1804,Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,5.0,2.75,Hyundai
1805,Hyundai Elantra CRDi SX,Jaipur,2012,98008,Diesel,Manual,5.0,6.25,Hyundai
1806,Ford Figo Diesel Titanium,Hyderabad,2015,36000,Diesel,Manual,5.0,4.95,Ford
1807,Hyundai i20 1.2 Magna Executive,Kochi,2019,27339,Petrol,Manual,5.0,6.27,Hyundai
1808,Hyundai Verna 1.6 CRDi SX,Kolkata,2017,25000,Diesel,Manual,5.0,8.65,Hyundai
1809,Hyundai Grand i10 Asta,Kolkata,2014,37000,Petrol,Manual,5.0,3.5,Hyundai
1810,Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,5.0,35.0,Audi
1811,Maruti Swift Dzire ZXi,Kolkata,2015,27000,Petrol,Manual,5.0,4.45,Maruti
1812,Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,5.0,2.65,Hyundai
1813,Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,2017,10500,Diesel,Manual,5.0,4.7,Mahindra
1814,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,Diesel,Automatic,5.0,8.9,Hyundai
1815,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,5.0,17.45,Jeep
1816,Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,5.0,9.58,Maruti
1817,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,5.0,6.22,Toyota
1818,Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,7.0,7.8,Mahindra
1819,BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,5.0,27.75,BMW
1820,Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,5.0,7.0,Hyundai
1821,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,5.0,64.87,Mercedes-Benz
1822,Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,5.0,6.5,Chevrolet
1823,Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,5.0,2.7,Hyundai
1824,Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,5.0,2.5,Honda
1825,Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,7.0,3.9,Nissan
1826,Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,58000,Petrol,Manual,5.0,3.95,Volkswagen
1827,Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,5.0,2.1,Hyundai
1828,Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,4.0,3.5,Chevrolet
1829,Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,5.0,2.0,Hyundai
1830,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,7.0,5.35,Maruti
1831,Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,5.0,3.8,Honda
1832,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,5.0,17.25,Mercedes-Benz
1833,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,5.0,5.53,Hyundai
1834,Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,5.0,1.95,Hyundai
1835,Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,5.0,8.2,Maruti
1836,Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,5.0,0.9,Honda
1837,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2013,255000,Diesel,Manual,7.0,6.5,Toyota
1838,Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,5.0,19.41,Mini
1839,Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,5.0,6.58,Fiat
1840,Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,5.0,2.1,Chevrolet
1841,Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,5.0,2.0,Hyundai
1842,Hyundai Xcent 1.1 CRDi Base,Delhi,2015,54000,Diesel,Manual,5.0,3.7,Hyundai
1843,Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,5.0,3.8,Maruti
1844,Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,5.0,3.25,Hyundai
1845,Renault Duster 85PS Diesel RxL,Coimbatore,2015,65668,Diesel,Manual,5.0,5.53,Renault
1846,BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,5.0,10.9,BMW
1847,Hyundai Grand i10 Sportz,Kolkata,2018,1800,Petrol,Manual,5.0,5.1,Hyundai
1848,Hyundai Santro DX,Hyderabad,2007,96000,Petrol,Manual,5.0,2.2,Hyundai
1849,Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,5.0,1.6,Chevrolet
1850,Honda City i VTEC VX Option,Ahmedabad,2018,14000,Petrol,Manual,5.0,11.25,Honda
1851,Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,5.0,5.9,Volkswagen
1852,Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,73000,Diesel,Automatic,7.0,14.4,Toyota
1853,Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,5.0,3.6,Honda
1854,BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,5.0,40.5,BMW
1855,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,Diesel,Automatic,5.0,38.95,Audi
1856,Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,5.0,3.6,Maruti
1857,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,44782,Diesel,Automatic,5.0,7.12,Volkswagen
1858,Honda City i DTEC SV,Kochi,2016,55700,Diesel,Manual,5.0,7.52,Honda
1859,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,5.0,10.35,Audi
1860,Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,56000,Petrol,Manual,5.0,7.0,Skoda
1861,Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,7.0,10.85,Toyota
1862,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,5.0,2.35,Chevrolet
1863,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,7.0,2.9,Maruti
1864,Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,5.0,7.65,Maruti
1865,Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,5.0,6.4,Maruti
1866,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,7.0,10.1,Toyota
1867,Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,5.0,4.25,Maruti
1868,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,7.0,19.65,Toyota
1869,Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,5.0,4.4,Tata
1870,Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,5.0,3.25,Hyundai
1871,Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,78000,Diesel,Manual,5.0,2.8,Ford
1872,Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,50000,Diesel,Manual,8.0,4.3,Chevrolet
1873,Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,5.0,1.55,Ford
1874,Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,5.0,4.7,Honda
1875,Honda Jazz 1.2 VX i VTEC,Kochi,2017,24700,Petrol,Manual,5.0,7.07,Honda
1876,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,Diesel,Automatic,7.0,79.0,Mercedes-Benz
1877,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,5.0,5.75,Hyundai
1878,Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,5.0,3.25,Maruti
1879,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,5.0,8.89,Volkswagen
1880,Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,5.0,5.9,Honda
1881,Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,5.0,4.95,Honda
1882,Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,5.0,3.75,Maruti
1883,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,5.0,10.97,Hyundai
1884,Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,5.0,24.94,Audi
1885,Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,5.0,1.97,Hyundai
1886,Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,5.0,1.4,Ford
1887,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,5.0,7.27,Volkswagen
1888,Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,5.0,4.0,Renault
1889,Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,5.0,4.75,Honda
1890,Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,5.0,5.1,Hyundai
1891,Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,5.0,16.11,Audi
1892,Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,7.0,10.55,Mahindra
1893,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,7.0,30.0,Toyota
1894,Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,5.0,1.6,Skoda
1895,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,5.0,18.49,Mercedes-Benz
1896,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,5.0,9.96,Maruti
1897,Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,5.0,4.75,Maruti
1898,Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,10.0,3.65,Toyota
1899,BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,5.0,15.5,BMW
1900,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,6.0,11.82,Mitsubishi
1901,Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,5.0,2.05,Toyota
1902,Maruti Wagon R LXI CNG,Ahmedabad,2016,77000,CNG,Manual,5.0,3.3,Maruti
1903,Maruti Omni E MPI STD BS IV,Mumbai,2013,11734,Petrol,Manual,8.0,2.25,Maruti
1904,Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,5.0,20.12,Audi
1905,Hyundai Xcent 1.2 Kappa S Option CNG,Chennai,2017,46000,CNG,Manual,5.0,4.95,Hyundai
1906,Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,5.0,7.48,Honda
1907,Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,5.0,5.5,Mercedes-Benz
1908,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,5.0,13.19,Audi
1909,Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,5.0,3.85,Maruti
1910,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,5.0,5.75,Maruti
1911,Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,7.0,9.0,Mahindra
1912,Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,5.0,2.21,Chevrolet
1913,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,5.0,8.09,Ford
1914,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,5.0,48.63,BMW
1915,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,5.0,39.47,Audi
1916,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,5.0,22.24,BMW
1917,Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,5.0,2.6,Hyundai
1918,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,5.0,12.0,Hyundai
1919,Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,5.0,18.0,Audi
1920,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,5.0,9.99,Mercedes-Benz
1921,Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,5.0,2.45,Hyundai
1922,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,5.0,8.99,Ford
1923,Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,5.0,3.15,Volkswagen
1924,Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,5.0,8.2,Maruti
1925,Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,7.0,11.5,Mahindra
1926,Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,5.0,7.3,Hyundai
1927,Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,5.0,1.59,Maruti
1928,Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,5.0,3.15,Hyundai
1929,Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,7.0,8.5,Mahindra
1930,Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,5.0,3.0,Skoda
1931,BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,5.0,21.0,BMW
1932,Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,5.0,7.75,Honda
1933,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,5.0,23.0,Mercedes-Benz
1934,Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,7.0,13.75,Mahindra
1935,Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,5.0,8.29,Honda
1936,Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,5.0,5.79,Maruti
1937,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,5.0,30.5,Mercedes-Benz
1938,Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,5.0,3.8,Honda
1939,Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,7.0,4.45,Tata
1940,Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,5.0,3.3,Hyundai
1941,Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,5.0,1.75,Fiat
1942,Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,72000,Petrol,Automatic,5.0,5.5,Honda
1943,Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,44865,Diesel,Manual,5.0,13.35,Hyundai
1944,Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,5.0,22.5,Audi
1945,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,5.0,5.25,Hyundai
1946,Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,5.0,3.75,Hyundai
1947,Honda Mobilio S i DTEC,Kochi,2015,50624,Diesel,Manual,7.0,6.32,Honda
1948,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,5.0,7.75,Hyundai
1949,Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,87000,Petrol,Manual,5.0,1.37,Ford
1950,Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,5.0,2.1,Hyundai
1951,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,5.0,9.3,Maruti
1952,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,7.0,12.0,Toyota
1953,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,5.0,23.5,Mercedes-Benz
1954,Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,5.0,1.8,Maruti
1955,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,5.0,12.5,Mercedes-Benz
1956,Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,5.0,4.74,Maruti
1957,Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,5.0,5.43,Hyundai
1958,Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,7.0,31.62,Toyota
1959,Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,8.0,6.3,Toyota
